configuration	duplicate_family	resolved_versions	cargo_tree_status	principal_introducers_and_constraint_split	avoidability	disposition
no-default	atomic	v0.5.3,v0.6.1	active duplicate	v0.5.3 <- postage@0.5.0 requires ^0.5; v0.6.1 <- figment@0.10.19 requires ^0.6.0 [target=cfg(any(target_pointer_width = "8", target_pointer_width = "16", target_pointer_width = "32"))]	No - current crypto/RNG and Arti constraints	Keep: semver-incompatible generations are selected by Arti 0.44 and the modern direct crypto/RNG stack; revisit upstream only.
no-default	base64	v0.13.1,v0.22.1	active duplicate	v0.13.1 <- captcha@1.0.0 requires ^0.13; v0.22.1 <- hyper-util@0.1.20 requires ^0.22 [optional], reqwest@0.13.4 requires ^0.22, serde_with@3.21.0 requires ^0.22.1 [optional]	No - current media/CAPTCHA constraints	Keep: the legacy CAPTCHA/image path and current media/network stack require incompatible generations; revisit when the parent crates upgrade.
no-default	bitflags	v1.3.2,v2.13.1	active duplicate	v1.3.2 <- png@0.17.16 requires ^1.0; v2.13.1 <- crossterm@0.29.0 requires ^2.9, inotify@0.11.4 requires ^2, kqueue-sys@1.1.2 requires ^2.11.0, notify-types@2.1.0 requires ^2, notify@8.2.0 requires ^2.7.0 [target=cfg(target_os = "macos")], objc2-core-foundation@0.3.2 requires ^2.5.0 [optional], png@0.18.1 requires ^2.0, redox_syscall@0.5.18 requires ^2.4, rusqlite@0.39.0 requires ^2.6.0, rustix@1.1.4 requires ^2.4.0 (direct rustchan@1.3.0 root edge on cfg(unix)), security-framework@3.7.0 requires ^2.11, tor-cell@0.44.0 requires ^2, tor-netdir@0.44.0 requires ^2, tower-http@0.6.11 requires ^2.0.2, tower-http@0.7.0 requires ^2.0.2	No - current media/CAPTCHA constraints	Keep: the legacy CAPTCHA/image path and current media/network stack require incompatible generations; revisit when the parent crates upgrade.
no-default	block-buffer	v0.10.4,v0.12.1	active duplicate	v0.10.4 <- digest@0.10.7 requires ^0.10 [optional]; v0.12.1 <- digest@0.11.3 requires ^0.12 [optional]	No - current crypto/RNG and Arti constraints	Keep: semver-incompatible generations are selected by Arti 0.44 and the modern direct crypto/RNG stack; revisit upstream only.
no-default	const-oid	v0.9.6,v0.10.2	active duplicate	v0.9.6 <- der@0.7.10 requires ^0.9.2 [optional], digest@0.10.7 requires ^0.9 [optional], rsa@0.9.10 requires ^0.9; v0.10.2 <- digest@0.11.3 requires ^0.10 [optional]	No - current TLS/PKI and Arti constraints	Keep: preserve both TLS backends and Arti 0.44; unification requires upstream rustls-acme/rcgen/x509/Arti convergence.
no-default	cpufeatures	v0.2.17,v0.3.0	active duplicate	v0.2.17 <- aes@0.8.4 requires ^0.2 [target=cfg(any(target_arch = "aarch64", target_arch = "x86_64", target_arch = "x86"))], argon2@0.5.3 requires ^0.2.12 [target=cfg(any(target_arch = "x86", target_arch = "x86_64"))], curve25519-dalek@4.1.3 requires ^0.2.6 [target=cfg(target_arch = "x86_64")], keccak@0.1.6 requires ^0.2 [target=cfg(target_arch = "aarch64")], sha1@0.10.7 requires ^0.2 [target=cfg(any(target_arch = "aarch64", target_arch = "x86", target_arch = "x86_64"))], sha2@0.10.9 requires ^0.2 [target=cfg(any(target_arch = "aarch64", target_arch = "x86_64", target_arch = "x86"))]; v0.3.0 <- chacha20@0.10.1 requires ^0.3 [target=cfg(any(target_arch = "x86_64", target_arch = "x86"))], keccak@0.2.0 requires ^0.3 [target=cfg(target_arch = "aarch64")], sha2@0.11.0 requires ^0.3 [target=cfg(any(target_arch = "aarch64", target_arch = "x86_64", target_arch = "x86"))]	No - current crypto/RNG and Arti constraints	Keep: semver-incompatible generations are selected by Arti 0.44 and the modern direct crypto/RNG stack; revisit upstream only.
no-default	crypto-common	v0.1.7,v0.2.2	active duplicate	v0.1.7 <- cipher@0.4.4 requires ^0.1.6, digest@0.10.7 requires ^0.1.3; v0.2.2 <- digest@0.11.3 requires ^0.2	No - current crypto/RNG and Arti constraints	Keep: semver-incompatible generations are selected by Arti 0.44 and the modern direct crypto/RNG stack; revisit upstream only.
no-default	darling	v0.14.4,v0.21.3,v0.23.0	active duplicate	v0.14.4 <- derive_builder_core_fork_arti@0.11.2 requires ^0.14.0; v0.21.3 <- enumset_derive@0.15.0 requires ^0.21.3; v0.23.0 <- serde_with_macros@3.21.0 requires ^0.23.0	No - current proc-macro/API constraints	Keep: independent derive/proc-macro consumers require incompatible generations; a lockfile-only update cannot unify them.
no-default	darling_core	v0.14.4,v0.21.3,v0.23.0	active duplicate	v0.14.4 <- darling@0.14.4 requires =0.14.4, darling_macro@0.14.4 requires =0.14.4; v0.21.3 <- darling@0.21.3 requires =0.21.3, darling_macro@0.21.3 requires =0.21.3; v0.23.0 <- darling@0.23.0 requires =0.23.0, darling_macro@0.23.0 requires =0.23.0	No - current proc-macro/API constraints	Keep: independent derive/proc-macro consumers require incompatible generations; a lockfile-only update cannot unify them.
no-default	darling_macro	v0.14.4,v0.21.3,v0.23.0	active duplicate	v0.14.4 <- darling@0.14.4 requires =0.14.4; v0.21.3 <- darling@0.21.3 requires =0.21.3; v0.23.0 <- darling@0.23.0 requires =0.23.0	No - current proc-macro/API constraints	Keep: independent derive/proc-macro consumers require incompatible generations; a lockfile-only update cannot unify them.
