config	target	dependency	why Cargo exposes it	disposition
no-default	lib chan	arti_client	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	axum_extra	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	axum_server	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	clap	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	crossterm	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	data_encoding	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	futures	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	hyper_util	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	rustls	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	rustls_pki_types	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	sha3	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	time	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	tokio	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	tokio_rustls	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	tokio_util	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	tor_cell	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	tor_hsservice	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	tower	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	tower_http	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	tracing_appender	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	tracing_subscriber	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	lib chan	rustls-webpki (extern webpki)	Cargo exposes the direct rustls-webpki package dependency to every package target; its minimum version is consumed transitively through rustls instead of by a source-level import.	RETAIN; intentional direct security floor for RUSTSEC-2026-0049; keep the narrow target-level expectation and do not add a fake import.
no-default	lib chan	zip	Cargo passes enabled package-level direct dependencies to the chan library target even though production chan contains only shared library modules and the dependency's source-level use is binary-local.	RETAIN; used by rustchan-cli or its active feature graph; preserve the library/runtime boundary, keep the library-target expectation, and do not add a fake import.
no-default	bin rustchan-cli	chan (package library target)	Cargo automatically exposes the package's chan library crate to rustchan-cli; the standalone binary declares the full runtime graph locally and therefore does not link the companion library.	RETAIN; chan remains the shared library and unit-test target; preserve the standalone binary boundary, keep the binary-target expectation, and do not add a fake import.
no-default	bin rustchan-cli	rustls-webpki (extern webpki)	Cargo exposes the direct rustls-webpki package dependency to every package target; its minimum version is consumed transitively through rustls instead of by a source-level import.	RETAIN; intentional direct security floor for RUSTSEC-2026-0049; keep the narrow target-level expectation and do not add a fake import.
no-default	integration test cli_runtime	argon2	Cargo passes enabled package-level direct dependencies to integration-test targets even though cli_runtime deliberately drives only the compiled rustchan-cli executable.	RETAIN; used by the package library, CLI, or active feature graph; keep the integration-test expectation and do not add a fake import.
no-default	integration test cli_runtime	arti_client	Cargo passes enabled package-level direct dependencies to integration-test targets even though cli_runtime deliberately drives only the compiled rustchan-cli executable.	RETAIN; used by the package library, CLI, or active feature graph; keep the integration-test expectation and do not add a fake import.
no-default	integration test cli_runtime	axum	Cargo passes enabled package-level direct dependencies to integration-test targets even though cli_runtime deliberately drives only the compiled rustchan-cli executable.	RETAIN; used by the package library, CLI, or active feature graph; keep the integration-test expectation and do not add a fake import.
no-default	integration test cli_runtime	axum_extra	Cargo passes enabled package-level direct dependencies to integration-test targets even though cli_runtime deliberately drives only the compiled rustchan-cli executable.	RETAIN; used by the package library, CLI, or active feature graph; keep the integration-test expectation and do not add a fake import.
no-default	integration test cli_runtime	axum_server	Cargo passes enabled package-level direct dependencies to integration-test targets even though cli_runtime deliberately drives only the compiled rustchan-cli executable.	RETAIN; used by the package library, CLI, or active feature graph; keep the integration-test expectation and do not add a fake import.
no-default	integration test cli_runtime	captcha	Cargo passes enabled package-level direct dependencies to integration-test targets even though cli_runtime deliberately drives only the compiled rustchan-cli executable.	RETAIN; used by the package library, CLI, or active feature graph; keep the integration-test expectation and do not add a fake import.
no-default	integration test cli_runtime	chan (package library target)	Cargo automatically exposes the package library crate to integration-test targets; cli_runtime deliberately drives only the compiled rustchan-cli executable.	RETAIN; preserve the black-box test boundary and target-level expectation; do not add a fake chan import.
no-default	integration test cli_runtime	chrono	Cargo passes enabled package-level direct dependencies to integration-test targets even though cli_runtime deliberately drives only the compiled rustchan-cli executable.	RETAIN; used by the package library, CLI, or active feature graph; keep the integration-test expectation and do not add a fake import.
no-default	integration test cli_runtime	clap	Cargo passes enabled package-level direct dependencies to integration-test targets even though cli_runtime deliberately drives only the compiled rustchan-cli executable.	RETAIN; used by the package library, CLI, or active feature graph; keep the integration-test expectation and do not add a fake import.
