path	line	attribute	lints	reason	scope
src/banner.rs	1125	expect	clippy::panic_in_result_fn	test assertions intentionally panic on failure	fn rejects_banner_gif_frame_bomb
src/banner.rs	1148	expect	clippy::panic_in_result_fn	test assertions intentionally panic on failure	fn animated_gif_banner_falls_back_to_gif_without_ffmpeg
src/banner.rs	1196	expect	clippy::panic_in_result_fn	test assertions intentionally panic on failure	fn deleting_banner_asset_removes_webp_and_gif_siblings
src/banner.rs	1235	expect	clippy::panic_in_result_fn	test assertions intentionally panic on failure	fn animated_webp_banner_is_preserved_without_static_decode
src/banner.rs	1264	expect	clippy::panic_in_result_fn	test assertions intentionally panic on failure	fn rejects_oversized_banner_dimensions
src/chan_net/mod.rs	360	expect	clippy::panic_in_result_fn	assertions intentionally report violations of ChanNet authentication	fn protected_chan_routes_reject_missing_and_wrong_key
src/chan_net/mod.rs	407	expect	clippy::panic_in_result_fn	assertions intentionally report violations of ChanNet authentication	fn protected_chan_routes_accept_correct_key
src/chan_net/mod.rs	586	expect	clippy::panic_in_result_fn	assertions intentionally report violations of stable message-ID semantics	fn command_uses_stable_message_ids_without_merging_identical_replies
src/chan_net/mod.rs	659	expect	clippy::panic_in_result_fn	assertions intentionally report violations of decoded-Unicode length validation	fn command_accepts_json_escaped_unicode_at_legal_limit
src/chan_net/mod.rs	733	expect	clippy::panic_in_result_fn	assertions intentionally report violations of database contention handling	fn command_write_contention_is_bounded_and_returns_retry_contract
src/chan_net/mod.rs	804	expect	clippy::panic_in_result_fn	assertions intentionally report violations of connection-pool exhaustion handling	fn command_pool_exhaustion_is_bounded_and_returns_retry_contract
src/chan_net/mod.rs	865	expect	clippy::panic_in_result_fn	assertions intentionally report violations of exact transport-limit semantics	fn command_and_import_bodies_at_exact_limit_reach_semantic_validation
src/chan_net/selective_snapshot.rs	631	expect	clippy::panic_in_result_fn	assertions intentionally enforce the protected-board export boundary	fn protected_boards_are_excluded_from_every_gateway_export
src/chan_net/selective_snapshot.rs	725	expect	clippy::panic_in_result_fn	assertions intentionally enforce the protected-board federation boundary	fn protected_boards_are_excluded_from_federation_export
src/config/template.rs	5	expect	clippy::too_many_lines	the generated settings file stays contiguous so its documented ordering remains obvious	fn settings_template
src/config.rs	556	expect	clippy::exit	invalid configuration must terminate with the standard EX_CONFIG status	fn settings_file_parse_error
src/config.rs	777	expect	clippy::struct_excessive_bools	runtime configuration intentionally models independent operator-controlled feature switches	struct Config
src/config.rs	924	expect	clippy::too_many_lines	listing every configuration field keeps secret redaction and Debug completeness auditable	fn fmt
src/config.rs	1044	expect	clippy::too_many_lines	configuration loading keeps precedence and defaults together for auditability	fn from_env
src/config.rs	1347	expect	clippy::too_many_lines	startup validation keeps the complete fail-closed configuration audit in one routine	fn validate
src/config.rs	1740	expect	clippy::struct_excessive_bools	settings update mirrors independent runtime setup toggles	struct SetupRuntimeSettingsUpdate
src/config.rs	1763	expect	clippy::struct_excessive_bools	settings update mirrors independent first-run setup toggles	struct SetupSettingsFileUpdate
src/config.rs	2162	expect	clippy::panic_in_result_fn	assertion failures are the intended failure mechanism for this test	fn data_dir_override_requires_a_scoped_absolute_path
src/config.rs	2198	expect	clippy::panic_in_result_fn	assertion failures are the intended failure mechanism for this test	fn data_dir_override_rejects_symlink_to_root_without_mutation
src/config.rs	2249	expect	clippy::panic_in_result_fn	assertion failures are the intended failure mechanism for this test	fn data_dir_override_resolves_existing_symlink_ancestor_before_new_components
src/config.rs	2593	expect	clippy::panic_in_result_fn	assertion failures are the intended failure mechanism for this test	fn update_settings_file_ffmpeg_timeout_persists_and_reloads
src/config.rs	2632	expect	clippy::panic_in_result_fn	assertion failures are the intended failure mechanism for this test	fn update_settings_file_site_settings_persists_homepage_reply_badge_toggle
src/config.rs	2676	expect	clippy::panic_in_result_fn	assertion failures are the intended failure mechanism for this test	fn live_ffmpeg_timeout_setting_updates_and_formats_human_text
src/config.rs	2840	expect	clippy::panic_in_result_fn	assertion failures are the intended failure mechanism for this test	fn private_file_helpers_set_owner_only_modes
